px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
10.795	-3.60617	0.133015	-0.322404	0	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	0
10.8527	-3.46164	0	0	0	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0
10.9584	-3.30584	1.29006	-0.292989	0	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	0
11.0447	-3.1561	0	0	0	11.0447	-3.1561	11.05	-3.15	1.9995	2.99925	0
11.1178	-2.98807	0.101622	-0.262561	0	11.1178	-2.98807	11.1	-3	0.907725	2.72317	0
11.1427	-2.86566	0	0	0	11.1427	-2.86566	11.15	-2.85	0.907708	2.72314	0
11.1491	-2.68183	0.314142	-0.236058	0	11.1491	-2.68183	11.2	-2.7	0.908929	2.72678	0
11.2525	-2.55311	0	0	0	11.2525	-2.55311	11.25	-2.55	0.908929	2.72678	0
11.1188	-2.36202	1.44784	2.93227	0	11.1188	-2.36202	11.2	-2.4	-0.909276	2.72782	0
11.1594	-2.25598	0	0	0	11.1594	-2.25598	11.15	-2.25	-0.909276	2.72782	0
11.2029	-2.09837	1.33719	-0.185161	0	11.2029	-2.09837	11.25	-2.1	1.81915	2.72871	0
11.3525	-1.95787	0	0	0	11.3525	-1.95787	11.35	-1.95	1.81913	2.72869	0
11.3011	-1.79507	0.25794	2.98407	0	11.3011	-1.79507	11.35	-1.8	0	2.73035	0
11.3326	-1.67041	0	0	0	11.3326	-1.67041	11.35	-1.65	0	2.73033	0
11.0622	-1.44342	1.14303	3.01184	0	11.0622	-1.44342	11.3	-1.5	-0.999165	2.99748	0
11.2595	-1.35818	0	0	0	11.2595	-1.35818	11.25	-1.35	-0.999155	2.99745	0
11.1658	-1.23674	1.10131	3.03128	0	11.1658	-1.23674	11.2	-1.25	-0.909822	1.81964	0
11.1524	-1.15803	0	0	0	11.1524	-1.15803	11.15	-1.15	-0.909822	1.81964	0
10.8534	-0.929069	2.22217	3.0562	0	10.8534	-0.929069	11.05	-0.95	-1.99817	3.99632	0
10.9584	-0.728742	0	0	0	10.9584	-0.728742	10.95	-0.75	-1.99816	3.99632	0
10.8608	-0.663121	1.03306	3.08061	0	10.8608	-0.663121	10.9	-0.649999	-0.908549	1.8171	0
10.8648	-0.553034	0	0	0	10.8648	-0.553034	10.85	-0.549999	-0.908532	1.81708	0
10.8451	-0.437482	1.94494	3.10128	0	10.8451	-0.437482	10.75	-0.45	-1.8174	1.81738	0
10.6542	-0.347474	0	0	0	10.6542	-0.347474	10.65	-0.35	-1.8174	1.81738	0
10.5062	-0.245062	3.0395	3.11827	0	10.5062	-0.245062	10.5	-0.25	-2.72796	1.81864	0
10.3438	-0.150982	0	0	0	10.3438	-0.150982	10.35	-0.15	-2.72796	1.81864	0
10.4884	-0.0812124	1.83176	3.13385	0	10.4884	-0.0812124	10.25	-0.0999996	-1.81964	0.909826	0
